Data,NE,NW,SE,SW
43442,2.32125,3.427118644,2.073333333,4.024861878
43443,3.949450549,5.848663102,5.843636364,6.191489362
43444,1.286419753,4.132065217,3.062385321,4.257219251
43445,0.852380952,1.949404762,2.967647059,6.342021277
43446,0.455357143,1.27,0.951401869,1.575438596
43447,0.328571429,0.6,0.490196078,0.161038961
43448,0.285897436,0.259090909,0.343518519,0.371676301
43449,1.577777778,0.614906832,2.443518519,0.673626374
43450,3.631521739,0.569811321,0.674766355,0.041954023
43451,0.337777778,0.196178344,0.063551402,0.063354037
43452,0.077272727,0.325179856,0.011538462,0.050364964
43453,0.02183908,1.703205128,0.09223301,0.411023622
43454,3.817204301,3.13655914,1.288181818,1.495953757
43455,3.482795699,6.956989247,3.233636364,4.57712766
43456,4.329032258,2.626219512,4.208256881,6.713483146
43457,5.034782609,4.989304813,4.003636364,6.176595745
43458,1.936956522,1.39869281,3.322727273,2.378409091
43459,1.309677419,2.253409091,4.818348624,3.848128342
43460,1.402298851,1.117791411,1.17,1.313888889
43461,6.636956522,1.656140351,2.583486239,1.115662651
43462,1.57752809,1.388535032,3.543119266,3.220855615
43463,1.120238095,2.988461538,1.890740741,2.159893048
43464,3.505376344,3.163934426,5.544954128,7.547593583
43465,1.001204819,1.265,2.192631579,0.868421053
43466,6.736956522,5.82967033,6.54587156,5.705027933
43467,2.72173913,2.432727273,6.318348624,3.946022727
43468,0.409195402,0.914705882,2.560784314,2.241618497
43469,6.417204301,2.793888889,4.044036697,6.666111111
43470,0.429347826,1.114197531,5.512962963,5.599435028
43471,0.098823529,0.389393939,1.862745098,1.089808917
43472,1.629347826,4.462983425,0.343925234,1.857303371
43473,2.806451613,7.179005525,4.310091743,8.067039106
43474,1.309677419,2.513259669,1.370642202,4.258888889
43475,0.124731183,0.476712329,0.892523364,2.286705202
43476,1.665217391,1.514364641,1.686238532,2.556666667
43477,0.909677419,3.434831461,1.693577982,4.547222222
43478,6.147826087,7.562295082,5.643119266,8.175555556
43479,3.207692308,1.46402439,3.076146789,1.98079096
43480,5.496703297,5.864130435,9.672477064,9.049444444
43481,0.78172043,1.772619048,2.480733945,1.213605442
43482,1.857954545,2.883615819,0.523595506,0.805
43483,1.078888889,0.499346405,0.93490566,0.675471698
43484,0.122666667,0.069158879,0.025842697,0.017293233
43485,0.197333333,0.979,0.07027027,0.095192308
43486,0.397619048,0.217894737,0.0125,0.022222222
43487,0.033333333,0.001204819,0.022368421,0.021649485
43488,0.008860759,0.030666667,0.247435897,0.049
43489,0.385869565,0.270652174,2.274528302,0.917088608
43490,3.03655914,0.949404762,0.860550459,0.9
43491,0.4,1.07247191,0.564220183,2.420670391
43492,0.865217391,1.530601093,0.126168224,0.425443787
43493,3.477173913,1.849142857,2.271559633,2.719642857
43494,0.535164835,0.797674419,0.08,0.321935484
43495,0.368131868,0.067460317,0.782417582,0.026271186
43496,1.733333333,0.26039604,0.503333333,0.043396226
